qd,measured,predicted
2.5,-5.004268229734758,-5.0
3.5,-6.922935669118828,-7.0
4.5,-8.871278855159423,-9.0
5.5,-10.835726485299801,-11.0
6.5,-12.809682615805093,-13.0
