qd,M_exact,M_ray
0,1.0,1.0
1,0.9371341602815805,0.9381484312439379
2,0.7749318014483056,0.7782489955443329
3,0.5725437779636713,0.5773887612001817
4,0.3841915561427753,0.38930827773523463
5,0.23806446944931076,0.24245002808815636
6,0.1382427206157329,0.14142528988163325
