phase,deltaL_min,scaled_amp,saddle_sum,n_saddles,second_gap
0.0,2.1373114744445676,0.4719807862320534,0.9446111714695132,2,4.440892098500626e-16
0.1,2.089000063909487,0.38961268333225685,0.7753310313141917,2,0.09727670560274237
0.2,2.041377492881703,0.33873947159653467,0.6631098646870452,2,0.19448498565084504
0.30000000000000004,1.994480346400839,0.3078890088276264,0.5881816261125892,2,0.29155612736475245
0.4,1.9483469902645547,0.2899677589572892,0.5376283972823496,2,0.3884208413727155
0.5,1.903017727297002,0.280295784548039,0.5030170660265258,2,0.4850089680809302
0.6000000000000001,1.8585349593266849,0.27607733973618487,0.47884642067469374,2,0.5812491777020186
0.7000000000000001,1.8149433544897509,0.27536426061297703,0.461529287853157,2,0.6770686619148973
0.8,1.7722900188166348,0.2770917210372499,0.44872676616033136,2,0.7723928151736215
0.9,1.7306246702169328,0.2803950669442204,0.4389135523371075,2,0.8671449036822314
