quanta_per_gate,F_avg,infidelity
0.0,0.9999823700069428,1.7629993057211024e-05
0.0001,0.9999423677212249,5.763227877508825e-05
0.0002,0.9999023704624506,9.762953754943737e-05
0.0005,0.9997824088391368,0.0002175911608631731
0.001,0.9995825732584127,0.0004174267415872901
0.002,0.999183278426408,0.0008167215735920275
0.005,0.9979883968280003,0.002011603171999665
0.01,0.9960068859937593,0.0039931140062406945
