nph,F0,slope,intercept
5,0.998843739223652,0.40872708885620646,1.9448866389187914e-08
6,0.9998447357797747,0.40043453317872846,1.6303764005524712e-08
7,0.9999823700069428,0.39989140656457534,1.6624254801799458e-08
8,0.9999984024515228,0.3998372693825731,1.655662387533274e-08
9,0.9999998800201595,0.3998422126639982,1.6540252910940335e-08
10,0.9999999891845899,0.3998437167771144,1.653359933581502e-08
