ion,x_over_d,lead_flat,lead_depressed
0,-1.2,0.3287969565434007,0.1973259265786138
1,-0.6,0.4898565691355764,0.3404609728860759
2,0.0,0.5512406063462689,0.478765390206984
3,0.5999999999999999,0.48985656913559755,0.579524692237036
4,1.2,0.32879695654342384,0.5292292857248934
